year,region,population,gdp_usd,country,population_urbaine,taux_croissance_pop,inflation,taux_chomage,exportations,esperance_vie,alphabetisation,scolarisation_primaire,nb_participants_olympiques,pop_growth_pct,gdp_growth_pct,school_to_literacy_ratio,health_index,gdp_per_capita
2000,Atlantique,1298862,633096695.1266196,Benin,2768263,3.07665265205002,74.3319475815406,0.864,725304886.00806,56.594,,80.111213684082,0,,,,56.594,487.4241413842422
2001,Atlantique,1338041,658853394.8046185,Benin,2877723,3.05435506649292,77.2935520075027,0.765,728426333.669514,56.654,,87.4075012207031,0,3.0164097494576048,4.068367419426755,,56.654,492.4014995090722
2002,Atlantique,1383140,755835981.3533852,Benin,2996179,3.04010801597376,79.2175140068504,0.69,827401656.41962,56.851,35.0,92.6105804443359,0,3.3705245205490675,14.719903898731012,2.6460165841238825,56.851,546.4638296581584
2003,Atlantique,1425853,963880731.7251079,Benin,3128511,3.04920259714654,80.3956705120688,0.747,997331579.809427,57.092,,96.3288879394531,0,3.088118339430568,27.52511861094544,,57.092,676.0028780842821
2004,Atlantique,1467834,1113639496.4549646,Benin,3266820,3.06173106096489,81.0982409050891,0.79,1146038651.35219,57.346,,100.354598999023,0,2.9442726564379296,15.5370638504025,,57.346,758.6958037863714
2005,Atlantique,1514132,1180171681.3051107,Benin,3416212,3.22061199704122,85.448772954176,0.86,1213941696.92857,57.738,,97.6395721435547,0,3.154171384502602,5.974301833038176,,57.738,779.4377777532677
2006,Atlantique,1564099,1265586126.9599068,Benin,3568489,3.12066888297415,88.6805967620689,0.889,1270214595.80969,57.966,28.7021102905273,97.9188232421875,0,3.3000425326193517,7.237459346621433,3.4115548386873886,57.966,809.1470725062204
2007,Atlantique,1612235,1470903653.955696,Benin,3721090,2.95509554727715,89.8317313290945,0.902,1800691335.95807,58.249,,,0,3.077554553771855,16.223117701913115,,58.249,912.3382471883417
2008,Atlantique,1661964,1762683248.13326,Benin,3882323,3.01959398464251,96.9709273997076,0.894,2167074921.86083,58.099,,110.888137817383,0,3.0844758983646914,19.83675772324598,,58.099,1060.6025450209872
2009,Atlantique,1710152,1751371414.9960558,Benin,4049112,2.99903642214246,97.8398570732499,0.949,1940710262.92026,58.258,,116.08260345459,0,2.899461119494773,-0.6417394134302756,,58.258,1024.102778581118
2010,Atlantique,1764133,1716932307.1851184,Benin,4222030,2.98424162798508,100.0,1.04,2199999385.40112,58.387,,117.383979797363,0,3.156503047682313,-1.966408011233578,,58.387,973.2442549315264
2011,Atlantique,1816517,1924442793.5882733,Benin,4401627,2.97782202797765,102.704239077473,2.647,2229520238.43142,58.462,,119.239990234375,0,2.9693906298448036,12.086119268345819,,58.462,1059.413588525884
2012,Atlantique,1870246,2004016909.8507314,Benin,4587966,2.96766540040992,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,0,2.95780331260318,4.134917209676359,3.7380212762385714,58.559,1071.5258366282999
2013,Atlantique,1927010,2252534004.3806114,Benin,4780638,2.94885160135819,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,0,3.035108750399673,12.400947981441469,,58.863,1168.9269927922592
2014,Atlantique,1984243,2389820655.417031,Benin,4981812,2.9550187594558,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,0,2.9700416707749255,6.094764863457391,,59.008,1204.3991867009388
2015,Atlantique,2043398,2048340711.6602948,Benin,5191263,2.95391627666724,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,0,2.9812376810703034,-14.28893599118829,,59.123,1002.4188687961399
2016,Atlantique,2106585,2128775547.7250004,Benin,5407795,2.92460216679542,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,0,3.0922512403359415,3.926828950224226,,59.283,1010.5338961992991
2017,Atlantique,2167451,2286604626.118248,Benin,5630764,2.88117869411855,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,0,2.8893208676602278,7.414077945508057,3.128439327982517,59.528,1054.9740806681434
2018,Atlantique,2231354,2569941821.148108,Benin,5858809,2.8136418840483,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,0,2.9483019454649817,12.391175623170803,,59.71,1151.7409703472008
2019,Atlantique,2292936,2592900990.774877,Benin,6091152,2.73538842831436,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,0,2.7598489526986736,0.8933731276652868,,59.888,1130.8213533979479
2020,Atlantique,2352956,2824004300.0825915,Benin,6327922,2.66259875153288,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,0,2.6176046780197915,8.912924563257253,,60.154,1200.1942663112236
2021,Atlantique,2416504,3186526820.2737403,Benin,6568819,2.59230167510348,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,0,2.7007729851301843,12.837180176409312,2.525561304566708,59.61,1318.651581074867
2022,Atlantique,2476540,3136357394.5327983,Benin,6815631,2.54740926342667,117.611691618775,1.685,3627155580.31394,60.475,47.0999984741211,113.04891204834,0,2.484415502726245,-1.5744234575948757,2.400189293221618,60.475,1266.4271098115912
2023,Atlantique,2540634,3542095639.1961126,Benin,7069628,2.52274772277722,120.832723939286,1.657,3935350520.19623,60.774,,,0,2.5880462257827475,12.936607459678683,,60.774,1394.1778466304522
2000,Collines,1228285,598695761.500144,Benin,2768263,3.07665265205002,74.3319475815406,0.864,725304886.00806,56.594,,80.111213684082,0,,,,56.594,487.42414138424226
2001,Collines,1265928,623344845.4705209,Benin,2877723,3.05435506649292,77.2935520075027,0.765,728426333.669514,56.654,,87.4075012207031,0,3.064679614258914,4.11713019457729,,56.654,492.40149950907227
2002,Collines,1303562,712349482.7168483,Benin,2996179,3.04010801597376,79.2175140068504,0.69,827401656.41962,56.851,35.0,92.6105804443359,0,2.972838897630825,14.278555103659162,2.6460165841238825,56.851,546.4638296581584
2003,Collines,1344978,909208998.9600416,Benin,3128511,3.04920259714654,80.3956705120688,0.747,997331579.809427,57.092,,96.3288879394531,0,3.1771407880867963,27.635243798084307,,57.092,676.0028780842822
2004,Collines,1387069,1052363429.8621583,Benin,3266820,3.06173106096489,81.0982409050891,0.79,1146038651.35219,57.346,,100.354598999023,0,3.129493567924535,15.744942149259145,,57.346,758.6958037863714
2005,Collines,1432946,1116892245.880434,Benin,3416212,3.22061199704122,85.448772954176,0.86,1213941696.92857,57.738,,97.6395721435547,0,3.307477854382146,6.131799546353278,,57.738,779.4377777532678
2006,Collines,1481037,1198376752.823395,Benin,3568489,3.12066888297415,88.6805967620689,0.889,1270214595.80969,57.966,28.7021102905273,97.9188232421875,0,3.3560929721008437,7.295646222230467,3.4115548386873886,57.966,809.1470725062203
2007,Collines,1521733,1388335217.908657,Benin,3721090,2.95509554727715,89.8317313290945,0.902,1800691335.95807,58.249,,,0,2.7478044100181176,15.851314258034188,,58.249,912.3382471883419
2008,Collines,1568746,1663816000.0914936,Benin,3882323,3.01959398464251,96.9709273997076,0.894,2167074921.86083,58.099,,110.888137817383,0,3.0894381603080223,19.842526403515983,,58.099,1060.6025450209872
2009,Collines,1616390,1655349490.270733,Benin,4049112,2.99903642214246,97.8398570732499,0.949,1940710262.92026,58.258,,116.08260345459,0,3.0370754730211225,-0.5088609449779846,,58.258,1024.102778581118
2010,Collines,1664847,1620302778.0899868,Benin,4222030,2.98424162798508,100.0,1.04,2199999385.40112,58.387,,117.383979797363,0,2.9978532408639014,-2.117179023930127,,58.387,973.2442549315264
2011,Collines,1716291,1818262007.2646782,Benin,4401627,2.97782202797765,102.704239077473,2.647,2229520238.43142,58.462,,119.239990234375,0,3.090013676932468,12.217422067747474,,58.462,1059.413588525884
2012,Collines,1767400,1893814763.6568573,Benin,4587966,2.96766540040992,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,0,2.977874964094074,4.1552183398385845,3.7380212762385714,58.559,1071.5258366282999
2013,Collines,1818694,2125920508.2293248,Benin,4780638,2.94885160135819,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,0,2.9022292633246627,12.255989816252333,,58.863,1168.9269927922592
2014,Collines,1875560,2258922938.6088123,Benin,4981812,2.9550187594558,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,0,3.1267491947518433,6.256227825294602,,59.008,1204.3991867009386
2015,Collines,1928670,1933335199.6810513,Benin,5191263,2.95391627666724,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,0,2.8316876026360127,-14.41340620181929,,59.123,1002.4188687961399
2016,Collines,1990096,2011059464.6906402,Benin,5407795,2.92460216679542,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,0,3.18488906863279,4.020216723018932,,59.283,1010.5338961992991
2017,Collines,2046936,2159464424.7865267,Benin,5630764,2.88117869411855,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,0,2.856143623222196,7.379441667515052,3.128439327982517,59.528,1054.9740806681434
2018,Collines,2103712,2422931300.2110505,Benin,5858809,2.8136418840483,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,0,2.7737066522842024,12.200565677323837,,59.71,1151.7409703472008
2019,Collines,2163486,2446516166.5775123,Benin,6091152,2.73538842831436,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,0,2.841358512952352,0.9734021911561141,,59.888,1130.8213533979476
2020,Collines,2221177,2665843899.862365,Benin,6327922,2.66259875153288,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,0,2.6665760721354292,8.964900223474714,,60.154,1200.1942663112236
2021,Collines,2282271,3009520262.5913177,Benin,6568819,2.59230167510348,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,0,2.7505237088264467,12.891841219461364,2.525561304566708,59.61,1318.651581074867
2022,Collines,2339824,2963216545.787797,Benin,6815631,2.54740926342667,117.611691618775,1.685,3627155580.31394,60.475,47.0999984741211,113.04891204834,0,2.521742597614396,-1.5385746817883628,2.400189293221618,60.475,1266.4271098115914
2023,Collines,2397841,3343016801.94221,Benin,7069628,2.52274772277722,120.832723939286,1.657,3935350520.19623,60.774,,,0,2.4795454700866415,12.817161698637847,,60.774,1394.1778466304522
2000,Littoral,1083354,528052893.2651843,Benin,2768263,3.07665265205002,74.3319475815406,0.864,725304886.00806,56.594,,80.111213684082,0,,,,56.594,487.42414138424215
2001,Littoral,1117469,550243411.2549034,Benin,2877723,3.05435506649292,77.2935520075027,0.765,728426333.669514,56.654,,87.4075012207031,0,3.1490168495247106,4.202328644107101,,56.654,492.4014995090722
2002,Littoral,1150643,628784780.3493524,Benin,2996179,3.04010801597376,79.2175140068504,0.69,827401656.41962,56.851,35.0,92.6105804443359,0,2.9686729564757597,14.273931770545856,2.6460165841238825,56.851,546.4638296581584
2003,Littoral,1184929,801015414.3255304,Benin,3128511,3.04920259714654,80.3956705120688,0.747,997331579.809427,57.092,,96.3288879394531,0,2.979725249273657,27.39103097891251,,57.092,676.0028780842822
2004,Littoral,1223770,928469163.7996477,Benin,3266820,3.06173106096489,81.0982409050891,0.79,1146038651.35219,57.346,,100.354598999023,0,3.2779179174448503,15.911522699152503,,57.346,758.6958037863714
2005,Littoral,1264289,985434608.5979011,Benin,3416212,3.22061199704122,85.448772954176,0.86,1213941696.92857,57.738,,97.6395721435547,0,3.310997981646868,6.135415910328046,,57.738,779.4377777532677
2006,Littoral,1302847,1054194835.9735117,Benin,3568489,3.12066888297415,88.6805967620689,0.889,1270214595.80969,57.966,28.7021102905273,97.9188232421875,0,3.0497773847593335,6.977655013907436,3.4115548386873886,57.966,809.1470725062204
2007,Littoral,1344252,1226412513.4594228,Benin,3721090,2.95509554727715,89.8317313290945,0.902,1800691335.95807,58.249,,,0,3.1780400921980867,16.336418241593286,,58.249,912.3382471883418
2008,Littoral,1382694,1466488775.3852491,Benin,3882323,3.01959398464251,96.9709273997076,0.894,2167074921.86083,58.099,,110.888137817383,0,2.8597316574570764,19.575490244194206,,58.099,1060.6025450209875
2009,Littoral,1427905,1462321478.049871,Benin,4049112,2.99903642214246,97.8398570732499,0.949,1940710262.92026,58.258,,116.08260345459,0,3.269776248396239,-0.28416837587341703,,58.258,1024.1027785811177
2010,Littoral,1468313,1429027191.6912742,Benin,4222030,2.98424162798508,100.0,1.04,2199999385.40112,58.387,,117.383979797363,0,2.8298801390848727,-2.276810322378464,,58.387,973.2442549315263
2011,Littoral,1515172,1605193805.753941,Benin,4401627,2.97782202797765,102.704239077473,2.647,2229520238.43142,58.462,,119.239990234375,0,3.1913495283362625,12.327730017101434,,58.462,1059.4135885258843
2012,Littoral,1561494,1673181164.7400706,Benin,4587966,2.96766540040992,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,0,3.0572106665117893,4.2354610852860075,3.7380212762385714,58.559,1071.5258366282999
2013,Littoral,1605406,1876602407.7906497,Benin,4780638,2.94885160135819,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,0,2.812178593065351,12.157753585648368,,58.863,1168.9269927922592
2014,Littoral,1655550,1993943073.5427392,Benin,4981812,2.9550187594558,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,0,3.1234466546157247,6.252825066458079,,59.008,1204.3991867009388
2015,Littoral,1704986,1709110137.4332554,Benin,5191263,2.95391627666724,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,0,2.9860771344870196,-14.284908124453455,,59.123,1002.4188687961399
2016,Littoral,1753699,1772172283.2308145,Benin,5407795,2.92460216679542,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,0,2.8570909086643503,3.6897648908844394,,59.283,1010.533896199299
2017,Littoral,1806653,1905972087.7613435,Benin,5630764,2.88117869411855,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,0,3.019560369253793,7.550044981326587,3.128439327982517,59.528,1054.9740806681434
2018,Littoral,1857000,2138782981.9347522,Benin,5858809,2.8136418840483,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,0,2.7867553979651793,12.214811311683803,,59.71,1151.740970347201
2019,Littoral,1908856,2158575125.361793,Benin,6091152,2.73538842831436,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,0,2.79246095853527,0.9253927861879951,,59.888,1130.8213533979479
2020,Littoral,1960972,2353547350.7968526,Benin,6327922,2.66259875153288,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,0,2.73022166156065,9.03245030225115,,60.154,1200.1942663112236
2021,Littoral,2011132,2651982391.5502596,Benin,6568819,2.59230167510348,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,0,2.5579151563612346,12.68022250125387,2.525561304566708,59.61,1318.6515810748672
